scenario_label,base_label_index,word_id,word,hand_type,scenario,purpose
0,289,2388,돕다,two,1 주민센터,도움 제안
1,37,1282,가능,one,1 주민센터;3 길찾기,가능 여부
2,58,1492,가족,two,1 주민센터,가족관계증명서 우회 구성
3,56,1584,관계,two,1 주민센터,가족관계증명서 우회 구성
4,290,830,확인서,two,1 주민센터,증명서 대체
5,291,2187,받다,one,1 주민센터,발급받다 대체
6,53,1130,원하다,one,1 주민센터;3 길찾기,희망 표현
7,4,1237,이것,one,1 주민센터,신분증 등 지시 대상 표현
8,292,2394,주다,one,1 주민센터,서류 및 물건 전달
9,27,1589,부탁,two,1 주민센터;2 병원,요청 표현
10,293,328,생년월일,two,1 주민센터,신청서 작성 항목
11,184,808,전화번호,one,1 주민센터,신청서 작성 항목
12,294,962,쓰다,two,1 주민센터,적다 대체
13,295,611,사인,two,1 주민센터,서명 대체
14,296,742,완료,two,1 주민센터,처리 완료 안내
15,112,1290,감사,two,1 주민센터;2 병원;3 길찾기,감사 인사
16,266,309,어젯밤,two,2 병원,증상 발생 시점
17,208,1599,다리,two,2 병원,통증 부위
18,227,1519,상처,two,2 병원,다치다 우회
19,226,689,통증,one,2 병원,증상 표현
20,55,1577,시작,two,2 병원,통증 발생 표현
21,12,1295,걷다,one,2 병원,보행 상태
22,50,1211,어렵다,one,2 병원,보행 곤란
23,258,2100,위,two,2 병원;3 길찾기,통증 위치 및 방향
24,137,1152,아프다,one,2 병원,통증 표현
25,259,2577,아래,two,2 병원,통증 위치
26,229,387,골절,two,2 병원,진단 설명
27,297,2601,보이다,one,2 병원,진단 추정
28,260,1578,밖,two,2 병원,대기 장소
29,298,1591,대기,one,2 병원,기다리다 대체
30,299,1260,빨리,one,2 병원,곧의 근사 대체
31,222,64,치료,two,2 병원,치료 안내
32,9,943,가다,one,3 길찾기,이동 및 방향
33,7,331,어떻게,two,3 길찾기,경로 질문
34,25,530,묻다,one,3 길찾기,질문 표현
35,165,634,서울역,two,3 길찾기,목적지
36,253,1593,기차,two,3 길찾기,교통수단
37,256,1342,왼쪽,two,3 길찾기,방향 표현
