선정 순번,원본 단어 번호,단어,범주,선정 기준,비고
1,1157,나,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
2,1351,너,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
3,1353,당신,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
4,1352,저,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
5,1237,이것,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
6,1242,사람,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
7,3,수어,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
8,331,어떻게,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
9,436,얼마,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
10,943,가다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
11,1149,오다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
12,1148,서다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
13,1295,걷다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
14,1274,달리다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
15,1273,일어나다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
16,1138,눕다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
17,1377,자다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
18,1143,듣다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
19,1185,알다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
20,1096,모르다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
21,1144,생각,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
22,1207,이해,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
23,1303,기억,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
24,1106,잊다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
25,2205,잊어버리다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
26,530,묻다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
27,2198,알려주다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
28,1589,부탁,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
29,1597,상담,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
30,566,소개,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
31,858,제안,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
32,2053,동의,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
33,2226,거절,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
34,2050,계획,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
35,1190,방법,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
36,504,의미,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
37,1193,중요,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
38,1282,가능,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
39,1097,불가능,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
40,1384,없다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
41,1107,충분,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
42,1304,부족,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
43,1174,맞다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
44,1359,틀리다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
45,738,좋다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
46,1278,싫다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
47,1381,괜찮다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
48,1133,잘하다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
49,1269,못하다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
50,1232,쉽다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
51,1211,어렵다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
