label_index,word_id,word,support,accuracy,precision,recall,f1
0,1157,나,5,1.0,1.0,1.0,1.0
1,1351,너,5,0.6,1.0,0.6,0.7499999999999999
2,1353,당신,5,1.0,1.0,1.0,1.0
3,1352,저,5,1.0,1.0,1.0,1.0
4,1237,이것,5,1.0,0.5555555555555556,1.0,0.7142857142857143
5,1242,사람,5,1.0,1.0,1.0,1.0
6,3,수어,5,1.0,1.0,1.0,1.0
7,331,어떻게,5,1.0,1.0,1.0,1.0
8,436,얼마,5,0.8,1.0,0.8,0.888888888888889
9,943,가다,5,1.0,1.0,1.0,1.0
10,1149,오다,5,1.0,1.0,1.0,1.0
11,1148,서다,5,0.2,1.0,0.2,0.33333333333333337
12,1295,걷다,5,1.0,1.0,1.0,1.0
13,1274,달리다,5,1.0,1.0,1.0,1.0
14,1273,일어나다,5,1.0,1.0,1.0,1.0
15,1138,눕다,5,1.0,1.0,1.0,1.0
16,1377,자다,5,1.0,1.0,1.0,1.0
17,1143,듣다,5,1.0,1.0,1.0,1.0
18,1185,알다,5,1.0,1.0,1.0,1.0
19,1096,모르다,5,1.0,1.0,1.0,1.0
20,1144,생각,5,1.0,1.0,1.0,1.0
21,1207,이해,5,1.0,1.0,1.0,1.0
22,1303,기억,5,1.0,1.0,1.0,1.0
23,1106,잊다,5,1.0,1.0,1.0,1.0
24,2205,잊어버리다,5,1.0,1.0,1.0,1.0
25,530,묻다,5,1.0,1.0,1.0,1.0
26,2198,알려주다,5,1.0,1.0,1.0,1.0
27,1589,부탁,5,1.0,1.0,1.0,1.0
28,1597,상담,5,1.0,1.0,1.0,1.0
29,566,소개,5,1.0,1.0,1.0,1.0
30,858,제안,5,1.0,1.0,1.0,1.0
31,2053,동의,5,1.0,1.0,1.0,1.0
32,2226,거절,5,1.0,1.0,1.0,1.0
33,2050,계획,5,1.0,1.0,1.0,1.0
34,1190,방법,5,1.0,1.0,1.0,1.0
35,504,의미,5,1.0,1.0,1.0,1.0
36,1193,중요,5,1.0,1.0,1.0,1.0
37,1282,가능,5,1.0,1.0,1.0,1.0
38,1097,불가능,5,1.0,1.0,1.0,1.0
39,1384,없다,5,1.0,1.0,1.0,1.0
40,1107,충분,5,1.0,1.0,1.0,1.0
41,1304,부족,5,1.0,1.0,1.0,1.0
42,1174,맞다,5,1.0,1.0,1.0,1.0
43,1359,틀리다,5,1.0,1.0,1.0,1.0
44,738,좋다,5,1.0,1.0,1.0,1.0
45,1278,싫다,5,1.0,1.0,1.0,1.0
46,1381,괜찮다,5,0.8,1.0,0.8,0.888888888888889
47,1133,잘하다,5,1.0,1.0,1.0,1.0
48,1269,못하다,5,1.0,1.0,1.0,1.0
49,1232,쉽다,5,1.0,1.0,1.0,1.0
50,1211,어렵다,5,1.0,1.0,1.0,1.0
51,1135,빠르다,5,0.6,1.0,0.6,0.7499999999999999
52,1337,느리다,5,1.0,1.0,1.0,1.0
53,1130,원하다,5,1.0,1.0,1.0,1.0
54,1139,믿다,5,1.0,1.0,1.0,1.0
55,1577,시작,5,1.0,1.0,1.0,1.0
56,1584,관계,5,1.0,1.0,1.0,1.0
57,1204,친구,5,1.0,1.0,1.0,1.0
58,1492,가족,5,1.0,1.0,1.0,1.0
59,1104,남자,5,1.0,1.0,1.0,1.0
60,1275,여자,5,1.0,1.0,1.0,1.0
61,1189,아기,5,1.0,1.0,1.0,1.0
62,1528,엄마,5,1.0,0.8333333333333334,1.0,0.9090909090909091
63,1531,남편,5,1.0,1.0,1.0,1.0
64,1524,아내,5,0.8,1.0,0.8,0.888888888888889
65,1574,형,5,1.0,1.0,1.0,1.0
66,1516,누나,5,1.0,1.0,1.0,1.0
67,1556,오빠,5,1.0,1.0,1.0,1.0
68,1518,여동생,5,1.0,1.0,1.0,1.0
69,1522,딸,5,1.0,1.0,1.0,1.0
70,1565,할머니,5,1.0,1.0,1.0,1.0
71,1566,할아버지,5,1.0,1.0,1.0,1.0
72,1568,조카,5,1.0,1.0,1.0,1.0
73,608,친척,5,1.0,1.0,1.0,1.0
74,1535,부부,5,1.0,0.8333333333333334,1.0,0.9090909090909091
75,2143,신부,5,1.0,1.0,1.0,1.0
76,2144,신혼,5,1.0,1.0,1.0,1.0
77,239,학부모,5,1.0,1.0,1.0,1.0
78,140,교수,5,1.0,1.0,1.0,1.0
79,141,교장,5,1.0,1.0,1.0,1.0
80,187,간호사,5,1.0,1.0,1.0,1.0
81,163,의사,5,1.0,1.0,1.0,1.0
82,174,통역사,5,1.0,1.0,1.0,1.0
83,159,요리사,5,1.0,1.0,1.0,1.0
84,147,디자이너,5,1.0,1.0,1.0,1.0
85,157,예술가,5,1.0,1.0,1.0,1.0
86,2184,직원,5,1.0,1.0,1.0,1.0
87,2185,사장,5,1.0,1.0,1.0,1.0
