순번,단어,사용 시나리오,300개 포함,300개 선정 순번,AI Hub 3000 단어 번호,동일 표제어 ID 수,분류,주요 용도
1,돕다,1 주민센터,X,,2388;2389;2390,3,3000개에만 있음,도움 제안
2,가능,1 주민센터;3 길찾기,O,38,1282;2493,2,300개에 있음,가능 여부
3,가족,1 주민센터,O,59,1492,1,300개에 있음,가족관계증명서 우회 구성
4,관계,1 주민센터,O,57,1584,1,300개에 있음,가족관계증명서 우회 구성
5,확인서,1 주민센터,X,,830,1,3000개에만 있음,증명서 대체
6,받다,1 주민센터,X,,2187,1,3000개에만 있음,발급받다 대체
7,원하다,1 주민센터;3 길찾기,O,54,1130,1,300개에 있음,희망 표현
8,이것,1 주민센터,O,5,1237,1,300개에 있음,신분증 등 지시 대상 표현
9,주다,1 주민센터,X,,2394;2395;2396,3,3000개에만 있음,서류 및 물건 전달
10,부탁,1 주민센터;2 병원,O,28,1589,1,300개에 있음,요청 표현
11,생년월일,1 주민센터,X,,328,1,3000개에만 있음,신청서 작성 항목
12,전화번호,1 주민센터,O,185,808,1,300개에 있음,신청서 작성 항목
13,쓰다,1 주민센터,X,,962,1,3000개에만 있음,적다 대체
14,사인,1 주민센터,X,,611,1,3000개에만 있음,서명 대체
15,완료,1 주민센터,X,,742,1,3000개에만 있음,처리 완료 안내
16,감사,1 주민센터;2 병원;3 길찾기,O,113,1290,1,300개에 있음,감사 인사
17,어젯밤,2 병원,O,267,309,1,300개에 있음,증상 발생 시점
18,다리,2 병원,O,209,1599,1,300개에 있음,통증 부위
19,상처,2 병원,O,228,1519,1,300개에 있음,다치다 우회
20,통증,2 병원,O,227,689,1,300개에 있음,증상 표현
21,시작,2 병원,O,56,1577,1,300개에 있음,통증 발생 표현
22,걷다,2 병원,O,13,1295;1389;1390;1391;1392;1393,6,300개에 있음,보행 상태
23,어렵다,2 병원,O,51,1211;2486,2,300개에 있음,보행 곤란
24,위,2 병원;3 길찾기,O,259,2100,1,300개에 있음,통증 위치 및 방향
25,아프다,2 병원,O,138,1152,1,300개에 있음,통증 표현
26,아래,2 병원,O,260,2577,1,300개에 있음,통증 위치
27,골절,2 병원,O,230,387,1,300개에 있음,진단 설명
28,보이다,2 병원,X,,2601;2609,2,3000개에만 있음,진단 추정
29,밖,2 병원,O,261,1578,1,300개에 있음,대기 장소
30,대기,2 병원,X,,1591,1,3000개에만 있음,기다리다 대체
31,빨리,2 병원,X,,1260,1,3000개에만 있음,곧의 근사 대체
32,치료,2 병원,O,223,64,1,300개에 있음,치료 안내
33,가다,3 길찾기,O,10,943;944;946;1345,4,300개에 있음,이동 및 방향
34,어떻게,3 길찾기,O,8,331,1,300개에 있음,경로 질문
35,묻다,3 길찾기,O,26,530,1,300개에 있음,질문 표현
36,서울역,3 길찾기,O,166,634,1,300개에 있음,목적지
37,기차,3 길찾기,O,254,1593,1,300개에 있음,교통수단
38,왼쪽,3 길찾기,O,257,1342,1,300개에 있음,방향 표현
